"id","name","description","memo","type","parentGroupName","parentGroupId","parentName"
"T1","Node 1","Node 1 description","Node 1 memo","ROADM","Group 1","G1","Parent 1"
"T2","Node 2","Node 2 description","Node 2 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T3","Node 3","Node 3 description","Node 3 memo","ROADM","Group 3","G3","Parent 3"
"T4","Node 4","Node 4 description","Node 4 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T5","Node 5","Node 5 description","Node 5 memo","ROADM","Group 2","G2","Parent 2"
"T6","Node 6","Node 6 description","Node 6 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T7","Node 7","Node 7 description","Node 7 memo","ROADM","Group 1","G1","Parent 1"
"T8","Node 8","Node 8 description","Node 8 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T9","Node 9","Node 9 description","Node 9 memo","ROADM","Group 3","G3","Parent 3"
"T10","Node 10","Node 10 description","Node 10 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T11","Node 11","Node 11 description","Node 11 memo","ROADM","Group 2","G2","Parent 2"
"T12","Node 12","Node 12 description","Node 12 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T13","Node 13","Node 13 description","Node 13 memo","ROADM","Group 1","G1","Parent 1"
"T14","Node 14","Node 14 description","Node 14 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T15","Node 15","Node 15 description","Node 15 memo","ROADM","Group 3","G3","Parent 3"
"T16","Node 16","Node 16 description","Node 16 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T17","Node 17","Node 17 description","Node 17 memo","ROADM","Group 2","G2","Parent 2"
"T18","Node 18","Node 18 description","Node 18 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T19","Node 19","Node 19 description","Node 19 memo","ROADM","Group 1","G1","Parent 1"
"T20","Node 20","Node 20 description","Node 20 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T21","Node 21","Node 21 description","Node 21 memo","ROADM","Group 3","G3","Parent 3"
"T22","Node 22","Node 22 description","Node 22 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T23","Node 23","Node 23 description","Node 23 memo","ROADM","Group 2","G2","Parent 2"
"T24","Node 24","Node 24 description","Node 24 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T25","Node 25","Node 25 description","Node 25 memo","ROADM","Group 1","G1","Parent 1"
"T26","Node 26","Node 26 description","Node 26 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T27","Node 27","Node 27 description","Node 27 memo","ROADM","Group 3","G3","Parent 3"
"T28","Node 28","Node 28 description","Node 28 memo","TRANSPONDER","Group 1","G1","Parent 1"
